State FIPS Code,County FIPS Code,County,Year,Labor Force Size,Employed,Unemployed,Unemployment Rate
1,1,Autauga,2000,21861,20971,890,4.1
1,3,Baldwin,2000,69979,67370,2609,3.7
1,5,Barbour,2000,11449,10812,637,5.6
1,7,Bibb,2000,8623,8160,463,5.4
1,9,Blount,2000,25266,24375,891,3.5
1,11,Bullock,2000,3997,3656,341,8.5
1,13,Butler,2000,9221,8496,725,7.9
1,15,Calhoun,2000,53244,50522,2722,5.1
1,17,Chambers,2000,17486,16709,777,4.4
1,19,Cherokee,2000,11378,10862,516,4.5
1,21,Chilton,2000,19601,18752,849,4.3
1,23,Choctaw,2000,6226,5815,411,6.6
1,25,Clarke,2000,11677,10814,863,7.4
1,27,Clay,2000,6608,6199,409,6.2
1,29,Cleburne,2000,7002,6715,287,4.1
1,31,Coffee,2000,20037,18861,1176,5.9
1,33,Colbert,2000,26124,24657,1467,5.6
1,35,Conecuh,2000,5521,5158,363,6.6
1,37,Coosa,2000,5329,5038,291,5.5
1,39,Covington,2000,17436,16221,1215,7.0
1,41,Crenshaw,2000,6155,5800,355,5.8
1,43,Cullman,2000,38898,37274,1624,4.2
1,45,Dale,2000,20923,19820,1103,5.3
1,47,Dallas,2000,17948,16487,1461,8.1
1,49,DeKalb,2000,32516,31194,1322,4.1
1,51,Elmore,2000,31195,29944,1251,4.0
1,53,Escambia,2000,16199,15348,851,5.3
1,55,Etowah,2000,48496,45652,2844,5.9
1,57,Fayette,2000,8332,7839,493,5.9
1,59,Franklin,2000,14729,13756,973,6.6
1,61,Geneva,2000,12261,11631,630,5.1
1,63,Greene,2000,3534,3291,243,6.9
1,65,Hale,2000,7023,6596,427,6.1
1,67,Henry,2000,7684,7302,382,5.0
1,69,Houston,2000,45464,43444,2020,4.4
1,71,Jackson,2000,28083,26612,1471,5.2
1,73,Jefferson,2000,331141,317868,13273,4.0
1,75,Lamar,2000,7497,6970,527,7.0
1,77,Lauderdale,2000,43733,41531,2202,5.0
1,79,Lawrence,2000,16682,15843,839,5.0
1,81,Lee,2000,58396,56042,2354,4.0
1,83,Limestone,2000,33039,31770,1269,3.8
1,85,Lowndes,2000,5087,4732,355,7.0
1,87,Macon,2000,9139,8606,533,5.8
1,89,Madison,2000,149626,144268,5358,3.6
1,91,Marengo,2000,9072,8594,478,5.3
1,93,Marion,2000,14302,13339,963,6.7
1,95,Marshall,2000,40809,38836,1973,4.8
1,97,Mobile,2000,186171,176895,9276,5.0
1,99,Monroe,2000,10343,9669,674,6.5
1,101,Montgomery,2000,106415,101919,4496,4.2
1,103,Morgan,2000,56614,54205,2409,4.3
1,105,Perry,2000,4132,3747,385,9.3
1,107,Pickens,2000,8657,8000,657,7.6
1,109,Pike,2000,14153,13364,789,5.6
1,111,Randolph,2000,10026,9534,492,4.9
1,113,Russell,2000,22142,21109,1033,4.7
1,115,St. Clair,2000,31555,30359,1196,3.8
1,117,Shelby,2000,82798,80512,2286,2.8
1,119,Sumter,2000,5420,4922,498,9.2
1,121,Talladega,2000,35828,33954,1874,5.2
1,123,Tallapoosa,2000,19486,18522,964,4.9
1,125,Tuscaloosa,2000,82181,78918,3263,4.0
1,127,Walker,2000,31714,29851,1863,5.9
1,129,Washington,2000,7781,7243,538,6.9
1,131,Wilcox,2000,3968,3617,351,8.8
1,133,Winston,2000,11768,10841,927,7.9
2,13,Aleutians East Borough,2000,942,860,82,8.7
2,16,Aleutians West Census Area,2000,2738,2597,141,5.1
2,20,Anchorage Borough/municipality,2000,140750,133661,7089,5.0
2,50,Bethel Census Area,2000,6406,5833,573,8.9
2,60,Bristol Bay Borough,2000,925,866,59,6.4
2,68,Denali Borough,2000,1341,1244,97,7.2
2,70,Dillingham Census Area,2000,1964,1820,144,7.3
2,90,Fairbanks North Star Borough,2000,41048,38543,2505,6.1
2,100,Haines Borough,2000,1397,1285,112,8.0
2,110,Juneau Borough/city,2000,18040,17203,837,4.6
2,122,Kenai Peninsula Borough,2000,24609,22597,2012,8.2
2,130,Ketchikan Gateway Borough,2000,8299,7782,517,6.2
2,150,Kodiak Island Borough,2000,6548,6004,544,8.3
2,158,Kusilvak Census Area,2000,2237,1897,340,15.2
2,164,Lake and Peninsula Borough,2000,1036,982,54,5.2
2,170,Matanuska-Susitna Borough,2000,28896,26793,2103,7.3
2,180,Nome Census Area,2000,3705,3348,357,9.6
2,185,North Slope Borough,2000,3407,3121,286,8.4
2,188,Northwest Arctic Borough,2000,2948,2682,266,9.0
2,201,Prince of Wales-Outer Ketchikan Census Area,2000,2666,2289,377,14.1
2,220,Sitka Borough/city,2000,4458,4245,213,4.8
2,232,Skagway-Hoonah-Angoon Census Area,2000,1830,1650,180,9.8
2,240,Southeast Fairbanks Census Area,2000,2271,1991,280,12.3
2,261,Valdez-Cordova Census Area,2000,5226,4830,396,7.6
2,280,Wrangell-Petersburg Census Area,2000,3077,2780,297,9.7
2,282,Yakutat Borough/city,2000,370,345,25,6.8
2,290,Yukon-Koyukuk Census Area,2000,2645,2342,303,11.5
4,1,Apache,2000,19039,17320,1719,9.0
4,3,Cochise,2000,48657,46466,2191,4.5
4,5,Coconino,2000,62634,59889,2745,4.4
4,7,Gila,2000,20341,19269,1072,5.3
4,9,Graham,2000,12274,11605,669,5.5
4,11,Greenlee,2000,3922,3756,166,4.2
4,12,La Paz,2000,7626,7141,485,6.4
4,13,Maricopa,2000,1598523,1546575,51948,3.2
4,15,Mohave,2000,68818,65752,3066,4.5
4,17,Navajo,2000,34281,31794,2487,7.3
4,19,Pima,2000,409884,394670,15214,3.7
4,21,Pinal,2000,69640,66458,3182,4.6
4,23,Santa Cruz,2000,14755,13539,1216,8.2
4,25,Yavapai,2000,75826,72773,3053,4.0
4,27,Yuma,2000,64393,53819,10574,16.4
5,1,Arkansas,2000,10161,9704,457,4.5
5,3,Ashley,2000,10505,9895,610,5.8
5,5,Baxter,2000,16294,15626,668,4.1
5,7,Benton,2000,76911,74795,2116,2.8
5,9,Boone,2000,16246,15577,669,4.1
5,11,Bradley,2000,5103,4777,326,6.4
5,13,Calhoun,2000,2558,2419,139,5.4
5,15,Carroll,2000,13038,12533,505,3.9
5,17,Chicot,2000,5434,5041,393,7.2
5,19,Clark,2000,11228,10753,475,4.2
5,21,Clay,2000,8075,7645,430,5.3
