Office,State,RaceDate,CensusPop,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
Senate,Alabama,20201103,"54,571",AUTAUGA,"19,387","Tuberville, Thomas",Challenger,"8,277","Jones, Doug",Incumbent,WR,43,Scattered Write-Ins,Challenger,N/A,"11,110",R,.16,70.08,29.92,,,
Senate,Alabama,20201103,"182,265",BALDWIN,"80,200","Tuberville, Thomas",Challenger,"28,925","Jones, Doug",Incumbent,WR,225,Scattered Write-Ins,Challenger,N/A,"51,275",R,.21,73.49,26.51,,,
Senate,Alabama,20201103,"27,457",BARBOUR,"5,449","Tuberville, Thomas",Challenger,"5,021","Jones, Doug",Incumbent,WR,9,Scattered Write-Ins,Challenger,N/A,428,R,.09,52.04,47.96,,,
Senate,Alabama,20201103,"22,915",BIBB,"7,320","Tuberville, Thomas",Challenger,"2,244","Jones, Doug",Incumbent,WR,17,Scattered Write-Ins,Challenger,N/A,"5,076",R,.18,76.54,23.46,,,
Senate,Alabama,20201103,"57,322",BLOUNT,"24,163","Tuberville, Thomas",Challenger,"3,290","Jones, Doug",Incumbent,WR,53,Scattered Write-Ins,Challenger,N/A,"20,873",R,.19,88.02,11.98,,,
Senate,Alabama,20201103,"10,914",BULLOCK,"1,108","Tuberville, Thomas",Challenger,"3,490","Jones, Doug",Incumbent,WR,2,Scattered Write-Ins,Challenger,N/A,"2,382",D,.04,24.10,75.90,,,
Senate,Alabama,20201103,"20,947",BUTLER,"5,232","Tuberville, Thomas",Challenger,"4,193","Jones, Doug",Incumbent,WR,11,Scattered Write-Ins,Challenger,N/A,"1,039",R,.12,55.51,44.49,,,
Senate,Alabama,20201103,"118,572",CALHOUN,"33,936","Tuberville, Thomas",Challenger,"16,808","Jones, Doug",Incumbent,WR,77,Scattered Write-Ins,Challenger,N/A,"17,128",R,.15,66.88,33.12,,,
Senate,Alabama,20201103,"34,215",CHAMBERS,"8,312","Tuberville, Thomas",Challenger,"6,908","Jones, Doug",Incumbent,WR,14,Scattered Write-Ins,Challenger,N/A,"1,404",R,.09,54.61,45.39,,,
Senate,Alabama,20201103,"25,989",CHEROKEE,"10,122","Tuberville, Thomas",Challenger,"2,112","Jones, Doug",Incumbent,WR,17,Scattered Write-Ins,Challenger,N/A,"8,010",R,.14,82.74,17.26,,,
