Office,State,RaceDate,CensusPop,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
Governor,Delaware,20201103,"162,310",KENT,"39,332","Murray, Julianne E.",Challenger,"44,352","Carney, John C. Jr.",Incumbent,IPD,"1,115","Dematteis, Kathy S.",Challenger,616,"5,020",D,1.31,47.00,53.00,,,"Machurek, John J. (Libertarian) 616"
Governor,Delaware,20201103,"538,479",NEW CASTLE,"82,545","Murray, Julianne E.",Challenger,"191,678","Carney, John C. Jr.",Incumbent,IPD,"3,785","Dematteis, Kathy S.",Challenger,"2,031","109,133",D,1.35,30.10,69.90,,,"Machurek, John J. (Libertarian) 2,031"
Governor,Delaware,20201103,"197,145",SUSSEX,"68,435","Murray, Julianne E.",Challenger,"56,873","Carney, John C. Jr.",Incumbent,IPD,"1,250","Dematteis, Kathy S.",Challenger,623,"11,562",R,.98,54.61,45.39,,,"Machurek, John J. (Libertarian) 623"
Governor,Indiana,20201103,"34,387",ADAMS,"9,441","Holcomb, Eric",Incumbent,"2,143","Myers, Woodrow A. Jr.",Challenger,L,"2,570","Rainwater, Donald G. II",Challenger,N/A,"6,871",R,18.16,81.50,18.50,,,
Governor,Indiana,20201103,"355,329",ALLEN,"98,406","Holcomb, Eric",Incumbent,"53,895","Myers, Woodrow A. Jr.",Challenger,L,"16,011","Rainwater, Donald G. II",Challenger,N/A,"44,511",R,9.51,64.61,35.39,,,
Governor,Indiana,20201103,"76,794",BARTHOLOMEW,"21,959","Holcomb, Eric",Incumbent,"9,013","Myers, Woodrow A. Jr.",Challenger,L,"5,065","Rainwater, Donald G. II",Challenger,N/A,"12,946",R,14.05,70.90,29.10,,,
Governor,Indiana,20201103,"8,854",BENTON,"2,815","Holcomb, Eric",Incumbent,671,"Myers, Woodrow A. Jr.",Challenger,L,614,"Rainwater, Donald G. II",Challenger,N/A,"2,144",R,14.98,80.75,19.25,,,
Governor,Indiana,20201103,"12,766",BLACKFORD,"3,333","Holcomb, Eric",Incumbent,933,"Myers, Woodrow A. Jr.",Challenger,L,"1,017","Rainwater, Donald G. II",Challenger,N/A,"2,316",R,19.25,78.13,21.87,,,
Governor,Indiana,20201103,"56,640",BOONE,"23,737","Holcomb, Eric",Incumbent,"9,661","Myers, Woodrow A. Jr.",Challenger,L,"5,094","Rainwater, Donald G. II",Challenger,N/A,"14,076",R,13.23,71.07,28.93,,,
Governor,Indiana,20201103,"15,242",BROWN,"4,953","Holcomb, Eric",Incumbent,"2,381","Myers, Woodrow A. Jr.",Challenger,L,"1,623","Rainwater, Donald G. II",Challenger,N/A,"2,572",R,18.12,67.53,32.47,,,
Governor,Indiana,20201103,"20,155",CARROLL,"6,077","Holcomb, Eric",Incumbent,"1,569","Myers, Woodrow A. Jr.",Challenger,L,"1,864","Rainwater, Donald G. II",Challenger,N/A,"4,213",R,19.60,79.48,20.52,,,
Governor,Indiana,20201103,"38,966",CASS,"8,833","Holcomb, Eric",Incumbent,"3,373","Myers, Woodrow A. Jr.",Challenger,L,"2,940","Rainwater, Donald G. II",Challenger,N/A,"5,460",R,19.41,72.37,27.63,,,
