"year","STATE","SEN","GOV"
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Oregon",NA,NA
2000,"Alabama",NA,NA
2000,"Alabama",NA,NA
2000,"Alabama",NA,NA
2000,"Alabama",NA,NA
2000,"Alabama",NA,NA
2000,"Alabama",NA,NA
2000,"Alabama",NA,NA
2000,"Alabama",NA,NA
2000,"Alabama",NA,NA
2000,"Alabama",NA,NA
2000,"Alabama",NA,NA
2000,"Alabama",NA,NA
2000,"Alabama",NA,NA
2000,"Alabama",NA,NA
2000,"Alabama",NA,NA
2000,"Alabama",NA,NA
2000,"Alabama",NA,NA
2000,"Alabama",NA,NA
2000,"Alabama",NA,NA
2000,"Alabama",NA,NA
2000,"Alabama",NA,NA
2000,"Alabama",NA,NA
2000,"Alabama",NA,NA
2000,"Arkansas",NA,NA
2000,"Arkansas",NA,NA
2000,"Arkansas",NA,NA
2000,"Arkansas",NA,NA
2000,"Arkansas",NA,NA
2000,"Arkansas",NA,NA
2000,"Arkansas",NA,NA
2000,"Arkansas",NA,NA
2000,"Arkansas",NA,NA
2000,"Arkansas",NA,NA
2000,"Arkansas",NA,NA
2000,"Arkansas",NA,NA
2000,"Arkansas",NA,NA
2000,"Arkansas",NA,NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California",NA,NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","REPUBLICAN",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","REPUBLICAN",NA
2000,"California","DEMOCRAT",NA
2000,"California","REPUBLICAN",NA
2000,"California","REPUBLICAN",NA
2000,"California","REPUBLICAN",NA
2000,"California","DEMOCRAT",NA
2000,"California","REPUBLICAN",NA
2000,"California","REPUBLICAN",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California",NA,NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","REPUBLICAN",NA
2000,"California","DEMOCRAT",NA
2000,"California","REPUBLICAN",NA
2000,"California","REPUBLICAN",NA
2000,"California","REPUBLICAN",NA
2000,"California","REPUBLICAN",NA
2000,"California","REPUBLICAN",NA
2000,"California","REPUBLICAN",NA
2000,"California","DEMOCRAT",NA
2000,"California","REPUBLICAN",NA
2000,"California","OTHER",NA
2000,"California",NA,NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","REPUBLICAN",NA
2000,"California","REPUBLICAN",NA
2000,"California","OTHER",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","REPUBLICAN",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","OTHER",NA
2000,"California","OTHER",NA
2000,"California","REPUBLICAN",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California",NA,NA
2000,"California","DEMOCRAT",NA
2000,"California","REPUBLICAN",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","REPUBLICAN",NA
2000,"California","REPUBLICAN",NA
2000,"California","DEMOCRAT",NA
2000,"California","REPUBLICAN",NA
2000,"California","DEMOCRAT",NA
2000,"California","REPUBLICAN",NA
2000,"California","REPUBLICAN",NA
2000,"California",NA,NA
2000,"California","DEMOCRAT",NA
2000,"California","REPUBLICAN",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","OTHER",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","REPUBLICAN",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California","DEMOCRAT",NA
2000,"California",NA,NA
2000,"California","OTHER",NA
2000,"California","OTHER",NA
2000,"California","DEMOCRAT",NA
2000,"Connecticut","REPUBLICAN",NA
2000,"Connecticut","DEMOCRAT",NA
2000,"Connecticut","REPUBLICAN",NA
2000,"Connecticut",NA,NA
2000,"Connecticut","DEMOCRAT",NA
2000,"Connecticut","DEMOCRAT",NA
