,state,county,fips total,1992,1996,2000,2004,2008,2012,2016,2020
0,Alabama,Autauga,01001,R,R,R,R,R,R,R,R
1,Alabama,Baldwin,01003,R,R,R,R,R,R,R,R
2,Alabama,Barbour,01005,D,D,D,R,R,D,R,R
3,Alabama,Bibb,01007,R,R,R,R,R,R,R,R
4,Alabama,Blount,01009,R,R,R,R,R,R,R,R
5,Alabama,Bullock,01011,D,D,D,D,D,D,D,D
6,Alabama,Butler,01013,D,D,R,R,R,R,R,R
7,Alabama,Calhoun,01015,R,R,R,R,R,R,R,R
8,Alabama,Chambers,01017,D,D,R,R,R,R,R,R
9,Alabama,Cherokee,01019,D,D,R,R,R,R,R,R
10,Alabama,Chilton,01021,R,R,R,R,R,R,R,R
11,Alabama,Choctaw,01023,D,D,D,R,R,R,R,R
12,Alabama,Clarke,01025,R,D,R,R,R,R,R,R
13,Alabama,Clay,01027,R,R,R,R,R,R,R,R
14,Alabama,Cleburne,01029,R,R,R,R,R,R,R,R
15,Alabama,Coffee,01031,R,R,R,R,R,R,R,R
16,Alabama,Colbert,01033,D,D,D,R,R,R,R,R
17,Alabama,Conecuh,01035,D,D,D,R,R,D,R,R
18,Alabama,Coosa,01037,D,D,R,R,R,R,R,R
19,Alabama,Covington,01039,R,R,R,R,R,R,R,R
20,Alabama,Crenshaw,01041,D,D,R,R,R,R,R,R
21,Alabama,Cullman,01043,R,R,R,R,R,R,R,R
22,Alabama,Dale,01045,R,R,R,R,R,R,R,R
23,Alabama,Dallas,01047,D,D,D,D,D,D,D,D
24,Alabama,Elmore,01051,R,R,R,R,R,R,R,R
25,Alabama,Escambia,01053,R,R,R,R,R,R,R,R
26,Alabama,Etowah,01055,D,D,R,R,R,R,R,R
27,Alabama,Fayette,01057,D,D,R,R,R,R,R,R
28,Alabama,Franklin,01059,D,D,R,R,R,R,R,R
29,Alabama,Geneva,01061,R,R,R,R,R,R,R,R
30,Alabama,Greene,01063,D,D,D,D,D,D,D,D
31,Alabama,Hale,01065,D,D,D,D,D,D,D,D
32,Alabama,Henry,01067,R,R,R,R,R,R,R,R
33,Alabama,Houston,01069,R,R,R,R,R,R,R,R
34,Alabama,Jackson,01071,D,D,D,R,R,R,R,R
35,Alabama,Jefferson,01073,R,R,R,R,D,D,D,D
36,Alabama,Lamar,01075,R,R,R,R,R,R,R,R
37,Alabama,Lauderdale,01077,D,R,R,R,R,R,R,R
38,Alabama,Lawrence,01079,D,D,D,R,R,R,R,R
39,Alabama,Lee,01081,R,R,R,R,R,R,R,R
40,Alabama,Limestone,01083,R,R,R,R,R,R,R,R
41,Alabama,Lowndes,01085,D,D,D,D,D,D,D,D
42,Alabama,Macon,01087,D,D,D,D,D,D,D,D
43,Alabama,Madison,01089,R,R,R,R,R,R,R,R
44,Alabama,Marengo,01091,D,D,D,R,D,D,D,D
45,Alabama,Marion,01093,D,D,R,R,R,R,R,R
46,Alabama,Marshall,01095,R,R,R,R,R,R,R,R
47,Alabama,Mobile,01097,R,R,R,R,R,R,R,R
48,Alabama,Monroe,01099,R,R,R,R,R,R,R,R
49,Alabama,Montgomery,01101,R,D,D,D,D,D,D,D
50,Alabama,Morgan,01103,R,R,R,R,R,R,R,R
51,Alabama,Perry,01105,D,D,D,D,D,D,D,D
52,Alabama,Pickens,01107,D,D,R,R,R,R,R,R
53,Alabama,Pike,01109,R,R,R,R,R,R,R,R
54,Alabama,Randolph,01111,R,R,R,R,R,R,R,R
55,Alabama,Russell,01113,D,D,D,D,D,D,D,D
56,Alabama,Shelby,01117,R,R,R,R,R,R,R,R
58,Alabama,Sumter,01119,D,D,D,D,D,D,D,D
59,Alabama,Talladega,01121,R,R,R,R,R,R,R,R
60,Alabama,Tallapoosa,01123,R,R,R,R,R,R,R,R
61,Alabama,Tuscaloosa,01125,R,R,R,R,R,R,R,R
62,Alabama,Walker,01127,D,D,R,R,R,R,R,R
63,Alabama,Washington,01129,D,D,R,R,R,R,R,R
64,Alabama,Wilcox,01131,D,D,D,D,D,D,D,D
65,Alabama,Winston,01133,R,R,R,R,R,R,R,R
66,Arizona,Apache,04001,D,D,D,D,D,D,D,D
67,Arizona,Cochise,04003,D,R,R,R,R,R,R,R
68,Arizona,Coconino,04005,D,D,D,D,D,D,D,D
69,Arizona,Gila,04007,D,D,R,R,R,R,R,R
70,Arizona,Graham,04009,R,R,R,R,R,R,R,R
71,Arizona,Greenlee,04011,D,D,R,R,R,R,R,R
72,Arizona,La Paz,04012,D,D,R,R,R,R,R,R
73,Arizona,Maricopa,04013,R,R,R,R,R,R,R,D
74,Arizona,Mohave,04015,R,R,R,R,R,R,R,R
75,Arizona,Navajo,04017,D,D,R,R,R,R,R,R
76,Arizona,Pima,04019,D,D,D,D,D,D,D,D
77,Arizona,Pinal,04021,D,D,R,R,R,R,R,R
78,Arizona,Santa Cruz,04023,D,D,D,D,D,D,D,D
79,Arizona,Yavapai,04025,R,R,R,R,R,R,R,R
80,Arizona,Yuma,04027,R,R,R,R,R,R,R,R
81,Arkansas,Arkansas,05001,D,D,R,R,R,R,R,R
82,Arkansas,Ashley,05003,D,D,D,R,R,R,R,R
83,Arkansas,Baxter,05005,D,R,R,R,R,R,R,R
84,Arkansas,Benton,05007,R,R,R,R,R,R,R,R
85,Arkansas,Boone,05009,D,R,R,R,R,R,R,R
86,Arkansas,Bradley,05011,D,D,D,D,R,R,R,R
87,Arkansas,Calhoun,05013,D,D,R,R,R,R,R,R
88,Arkansas,Carroll,05015,D,R,R,R,R,R,R,R
89,Arkansas,Chicot,05017,D,D,D,D,D,D,D,D
90,Arkansas,Clark,05019,D,D,D,D,R,R,R,R
91,Arkansas,Clay,05021,D,D,D,D,R,R,R,R
92,Arkansas,Cleburne,05023,D,D,R,R,R,R,R,R
93,Arkansas,Cleveland,05025,D,D,R,R,R,R,R,R
94,Arkansas,Columbia,05027,D,D,R,R,R,R,R,R
95,Arkansas,Conway,05029,D,D,R,R,R,R,R,R
96,Arkansas,Craighead,05031,D,D,D,R,R,R,R,R
97,Arkansas,Crawford,05033,R,R,R,R,R,R,R,R
98,Arkansas,Crittenden,05035,D,D,D,D,D,D,D,D
99,Arkansas,Cross,05037,D,D,D,R,R,R,R,R
100,Arkansas,Dallas,05039,D,D,D,R,R,R,R,R
101,Arkansas,Desha,05041,D,D,D,D,D,D,D,D
102,Arkansas,Drew,05043,D,D,D,R,R,R,R,R
103,Arkansas,Faulkner,05045,D,D,R,R,R,R,R,R
104,Arkansas,Franklin,05047,D,D,R,R,R,R,R,R
105,Arkansas,Fulton,05049,D,D,R,R,R,R,R,R
106,Arkansas,Garland,05051,D,D,R,R,R,R,R,R
107,Arkansas,Grant,05053,D,D,R,R,R,R,R,R
108,Arkansas,Greene,05055,D,D,D,R,R,R,R,R
109,Arkansas,Hempstead,05057,D,D,D,D,R,R,R,R
110,Arkansas,Hot Spring,05059,D,D,D,R,R,R,R,R
111,Arkansas,Howard,05061,D,D,R,R,R,R,R,R
112,Arkansas,Independence,05063,D,D,R,R,R,R,R,R
113,Arkansas,Izard,05065,D,D,D,R,R,R,R,R
114,Arkansas,Jackson,05067,D,D,D,D,R,R,R,R
115,Arkansas,Jefferson,05069,D,D,D,D,D,D,D,D
116,Arkansas,Johnson,05071,D,D,R,R,R,R,R,R
117,Arkansas,Lafayette,05073,D,D,D,R,R,R,R,R
118,Arkansas,Lawrence,05075,D,D,D,D,R,R,R,R
119,Arkansas,Lee,05077,D,D,D,D,D,D,D,D
120,Arkansas,Lincoln,05079,D,D,D,D,R,R,R,R
121,Arkansas,Little River,05081,D,D,D,D,R,R,R,R
122,Arkansas,Logan,05083,D,D,R,R,R,R,R,R
123,Arkansas,Lonoke,05085,D,D,R,R,R,R,R,R
124,Arkansas,Madison,05087,D,D,R,R,R,R,R,R
125,Arkansas,Marion,05089,D,D,R,R,R,R,R,R
126,Arkansas,Miller,05091,D,D,R,R,R,R,R,R
127,Arkansas,Mississippi,05093,D,D,D,D,R,R,R,R
128,Arkansas,Monroe,05095,D,D,D,D,R,R,R,R
130,Arkansas,Nevada,05099,D,D,D,R,R,R,R,R
131,Arkansas,Newton,05101,D,R,R,R,R,R,R,R
132,Arkansas,Ouachita,05103,D,D,D,R,R,R,R,R
133,Arkansas,Perry,05105,D,D,R,R,R,R,R,R
134,Arkansas,Phillips,05107,D,D,D,D,D,D,D,D
135,Arkansas,Pike,05109,D,D,R,R,R,R,R,R
